"","timestamp","extractors_first_name","extractors_last_name","preprint_doi","submitting_corresponding_author_first_and_second_name","submitting_corresponding_author_last_name","submitting_author_country","submitting_author_first_publication_year","taxa_being_studied","comments_on_preprint","type_of_preprint","data_link_preprint","code_link_preprint","number_of_citations_preprint","pci_recommendation_preprint","publication_doi","publication_journal","publication_date","publication_title_changed","number_of_citations_article","data_link_article","code_link_article","preprint_comments","publication_comments"
"39",2023-10-17 21:49:59,"Matt","Grainger","https://doi.org/10.32942/X2H59D","Shinichi","Nakagawa","Australia",2001,"Vertebrates","No","Reviews and Meta-analyses","https://doi.org/10.5281/zenodo.7502948","https://github.com/mlagisz/SM_machine_learning_animals",0,"Yes","https://doi.org/10.24072/pcjournal.261","Peer Community Journal",2023-11-04,"No",1,"https://github.com/mlagisz/SM_machine_learning_animals","https://github.com/mlagisz/SM_machine_learning_animals",NA,NA
"40",2023-10-17 21:50:35,"Marija","Purgar","https://doi.org/10.32942/X2H59D","Shinichi","Nakagawa","Australia",2001,"Vertebrates","No","Research Article (new empirical work)","https://github.com/mlagisz/SM_machine_learning_animals","https://github.com/mlagisz/SM_machine_learning_animals",0,"Yes","https://doi.org/10.24072/pcjournal.261","Peer Community Journal",2023-04-11,"No",1,"https://zenodo.org/records/7502948","https://zenodo.org/records/7502948",NA,NA
"41",2023-10-17 21:51:17,"Shreya","Dimri","https://doi.org/10.32942/X2H59D","Nakagawa","Shinichi","Australia",2001,"Vertebrates, Literature Map","No","Reviews and Meta-analyses","https://github.com/mlagisz/SM_machine_learning_animals","https://github.com/mlagisz/SM_machine_learning_animals",0,"Yes","10.24072/pcjournal.261","Peer Community Journal",2023-04-11,"No",1,"https://github.com/mlagisz/SM_machine_learning_animals, https://doi.org/10.5281/zenodo.7502948","https://github.com/mlagisz/SM_machine_learning_animals, https://doi.org/10.5281/zenodo.7502948",NA,NA
"42",2023-10-17 21:51:35,"Antica","Culina","https://doi.org/10.32942/X2H59D","Shinichi","Nakagawa","Australia",2001,"Vertebrates","No","Research Article (new empirical work)","https://doi.org/10.5281/zenodo.7502948 and https://github.com/mlagisz/SM_machine_learning_animals","https://doi.org/10.5281/zenodo.7502948 and https://github.com/mlagisz/SM_machine_learning_animals",999,"Yes","https://peercommunityjournal.org/articles/10.24072/pcjournal.261/","Peer Community Journal",2023-04-11,"No",NA,"1","https://github.com/mlagisz/SM_machine_learning_animals and on Zenodo  https://doi.org/10.5281/zenodo.7502948",NA,NA
"43",2023-10-17 21:52:58,"Ilha","Byrne","https://doi.org/10.20417/nzjecol.43.36","Levi","Collier-Robinson","New Zealand",0,"culturally significant organisms in general","No","Forum","NA","NA",0,"No","https://www.jstor.org/stable/26841832","New Zealand Journal of Ecology",2019-11-28,"No",54,"NA","NA",NA,NA
"44",2023-10-17 21:53:08,"Knut Anders","Hovstad","https://doi.org/10.32942/X2H59D","Shinichi","Nakagawa","New Zealand",2001,"Vertebrates","No","Reviews and Meta-analyses","NA","NA",1,"No","https://doi.org/10.24072/pcjournal.261","Peer Community Journal",2023-04-10,"No",1,"https://zenodo.org/records/7502948","https://github.com/mlagisz/SM_machine_learning_animals",NA,NA
"45",2023-10-17 21:54:44,"Samuel","Gascoigne","https://doi.org/10.32942/osf.io/gp7mt","https://doi.org/10.1371/journal.pstr.0000010","Cavender-Bares","United States of America",1985,"Plants","No","Research Article (new empirical work)","none","none",0,"No","https://doi.org/10.1371/journal.pstr.0000010","PLOS Sustainability and Transformation",2022-04-05,"No",9,"https://doi.org/10.1371/journal.pstr.0000010.s013","none",NA,NA
"46",2023-10-17 21:56:21,"Gavin","Hossack","https://doi.org/10.24072/pcjournal.261","Shinichi","Nakagawa","Australia",2001,"Vertebrates","No","Reviews and Meta-analyses","https://github.com/mlagisz/SM_machine_learning_animals","https://github.com/mlagisz/SM_machine_learning_animals",999,"Yes","doi : 10.24072/pcjournal.261","Peer Cpmmunity Journal",2023-04-11,"No",1,"https://doi.org/10.5281/zenodo.7502948","https://doi.org/10.5281/zenodo.7502948",NA,NA
"47",2023-10-17 21:58:18,"Kevin","Bairos-Novak","https://doi.org/10.32942/osf.io/vt67s","Amitaya","Aich","India",0,"Vertebrates","No","Research Article (new empirical work)","none","none",0,"No","NA","NA",NA,"No",NA,"NA","NA","Submitting author not on Google Scholar",NA
"48",2023-10-17 22:00:29,"Matt","Jones","https://doi.org/10.24072/pcjournal.261","Shinichi","Nakagawa","Australia",2001,"Vertebrates","No","Reviews and Meta-analyses","https://doi.org/10.5281/zenodo.7 502948","https://doi.org/10.5281/zenodo.7 502948",1,"Yes","https://doi.org/10.1016/j.tree.2018.11.007","Peer Community Journal",2023-11-04,"Yes",1,"https://doi.org/10.5281/zenodo.7502948","https://doi.org/10.5281/zenodo.7502948fcomment","No","No"
"49",2023-10-17 22:01:44,"April Robin","Martinig","https://doi.org/10.32942/osf.io/trg34","Jens","Joschinski","Belgium",2015,"Invertebrates","No","Appears to be a theoretical paper","https://osf.io/spva7/","NA",1,"No","https://doi.org/10.3389/fevo.2020.517183","Frontiers in Ecology and Evolution",2020-11-26,"Yes",13,"https://www.frontiersin.org/articles/10.3389/fevo.2020.517183/full","https://www.frontiersin.org/articles/10.3389/fevo.2020.517183/full",NA,"Code is included and from this data can be generated"
"50",2023-10-17 22:02:54,"Natalie","van Dis","https://doi.org/10.32942/X2QS36","Zoe","Xirocostas","Australia",2020,"Plants","No","Research Article (new empirical work)","none","none",999,"No","https://doi.org/10.1098/rspb.2023.1022","Proceedings of the Royal Society B: Biological Sciences",2023-08-16,"No",0,"https://doi.org/10.6084/m9.figshare.23639859.v1","https://doi.org/10.6084/m9.figshare.23639844.v1",NA,NA
"51",2023-10-17 22:05:29,"Félicie","Dhellemmes","https://doi.org/10.32942/osf.io/awqxb","Steven Foster","Wilson","Canada",0,"Vertebrates","No","Research Article (new empirical work)","none","none",0,"No","NA","NA",NA,NA,NA,"NA","NA",NA,NA
"52",2023-10-17 22:06:58,"Matthew","Grainger","https://doi.org/10.32942/osf.io/75a6f","Erlend","Nilsen","Norway",2004,"It is focused on research (in applied ecology)","No","Opinion","https://doi.org/10.5061/dryad.z612jm686","https://doi.org/10.17605/OSF.IO/W3S49",41,"No","https://doi.org/10.1111/1365-2664.13571","Journal of Applied Ecology",2020-09-02,"Yes",20,"https://doi.org/10.5061/dryad.z612jm686","https://doi.org/10.17605/OSF.IO/W3S49",NA,NA
"53",2023-10-17 22:08:47,"Louis","Bliard","https://doi.org/10.32942/X2R60H","Ana Maria","Bedoya","United States of America (the)",2015,"Plants","No","Research Article (new empirical work)","https://bitbucket.org/ambedoyao/palicourea-analyses/","https://bitbucket.org/ambedoyao/palicourea-analyses/",0,"No",NA,NA,NA,NA,NA,"NULL",NA,NA,NA
"54",2023-10-17 22:08:52,"Nicholas","Wu","https://doi.org/10.32942/osf.io/hqvmd","Pau","Carazo","Spain",2004,"Invertebrates, Vertebrates","No","Reviews and Meta-analyses","none","none",9999,"No","https://doi.org/10.1111/brv.12632","Biological Reviews",2020-07-20,"No",72,"none","none",NA,NA
"55",2023-10-17 22:09:02,"Elvira","D'Bastiani","https://doi.org/10.32942/osf.io/nmyxt","Bruno","Eleres Soares","Brazil ISO 3166-2:BR",2021,"Vertebrates","No","Research Article (new empirical work)","https://doi.org/10.5281/zenodo.4118631","https://doi.org/10.5281/zenodo.4118631",0,"No","https://doi.org/10.1016/j.ecss.2021.107256","Estuarine, Coastal and Shelf Science",2021-04-05,"No",2,"https://doi.org/10.5281/zenodo.4118631","https://doi.org/10.5281/zenodo.4118631",NA,NA
"56",2023-10-17 22:09:06,"Natalie","van Dis","https://doi.org/10.32942/X2M01K","Erik","Meijaard","Brunei Darussalam",1994,"Vertebrates","No","Reviews and Meta-analyses","NA","NA",0,"No","NA","NA",NA,NA,NA,"NULL",NA,NA,NA
"57",2023-10-17 22:09:07,"Jordann","Crawford-Ash","https://doi.org/10.32942/X23K6P","Mark Alan","Hershkovitz","Chile",0,"Plants","No","Comment","NA","NA",999,"No","NA","NA",NA,"No",NA,"NA","NA",NA,NA
"58",2023-10-17 22:09:25,"Ricardo","Correia","https://doi.org/10.32942/osf.io/ajyqg","Hannah","Fraser","Australia",2015,"none","No","Research Article (new empirical work)","none","none",0,"No","https://doi.org/10.1371/journal.pone.0200303","PLoS ONE",2018-07-16,"No",232,"https://osf.io/qxt3u/","https://osf.io/qxt3u/",NA,NA
"59",2023-10-17 22:09:49,"April Robin","Martinig","https://doi.org/10.32942/osf.io/wdqvy","Pietro","Pollo","Australia",2012,"Invertebrates","No","Research Article (new empirical work)","https://osf.io/thmx6/","https://osf.io/thmx6/",999,"No","NA","NA",NA,NA,NA,"NA","NA",NA,NA
"60",2023-10-17 22:11:56,"Jake","Martin","https://doi.org/10.1111/ele.14266","Samantha","Burke","Australia",2019,"Invertebrates","No","Reviews and Meta-analyses","https://github.com/sburke-unsw/CoralDiseaseMetaAnalysis","https://github.com/sburke-unsw/CoralDiseaseMetaAnalysis",999,"No","https://doi.org/10.1111/ele.14266","Ecology Letters",2023-06-06,"No",2,"https://github.com/sburke-unsw/CoralDiseaseMetaAnalysis","https://github.com/sburke-unsw/CoralDiseaseMetaAnalysis",NA,NA
"61",2023-10-17 22:12:17,"Wilco","Verberk","https://doi.org/10.32942/X2N59N","Bruno E","Soares","Canada",2011,"Vertebrates","No","Research Article (new empirical work)","https://zenodo.org/records/6329980","https://zenodo.org/records/6329980",0,"No","NA","NA",NA,NA,NA,"NA","NA",NA,NA
